Time,Bottle.position.x,Bottle.position.y,Bottle.position.z,Bottle.orientation.x,Bottle.orientation.y,Bottle.orientation.z,Bottle.orientation.w,CatchNet.position.x,CatchNet.position.y,CatchNet.position.z,CatchNet.orientation.x,CatchNet.orientation.y,CatchNet.orientation.z,CatchNet.orientation.w,TrashPickup.position.x,TrashPickup.position.y,TrashPickup.position.z,TrashPickup.orientation.x,TrashPickup.orientation.y,TrashPickup.orientation.z,TrashPickup.orientation.w,TrashPickup.velocity.x,TrashPickup.velocity.y,TrashPickup.velocity.z,Velocity_abs,Distance,Velocity_rel,Acceleration,Released,Moving,Freefall,Passed
1651820411.379943,0.9336151391267776,-1.7063978791236878,0.2188337236642837,0.6994319796562195,0.1145241543650626,0.1597926847636699,-0.6871012955904007,0.1205758593976497,-2.483722352981568,0.0417104396969079,0.0047356508206575,0.003844505897723,0.7080977886915207,-0.7060879230499267,0.9297293573617936,-1.730629140138626,0.4242711067199707,-0.6896199882030487,-0.0405946714803575,0.7230148136615753,0.0035746054170885,-0.0433135032653742,0.0673830509185791,-0.03335341811179782,0.0867697275318749,0.20689797405259486,-0.00027712114735689575,0.001870964532176167,-10,-10,-10,-10
1651820411.3899426,0.9332268208265304,-1.7056543171405791,0.2186088554561138,0.6991199910640716,0.114039497449994,0.1601120501756668,-0.6874277263879776,0.1205780297517776,-2.483722257614136,0.0417123734951018,0.0047138588270171,0.0038685482228174,0.708095732331276,-0.7060900121927262,0.9292962223291396,-1.7299553096294402,0.4239375725388526,-0.6896956622600555,-0.0408122027292846,0.722930783033371,0.0038192511652595,-0.043313503265407505,0.0673830509185791,-0.03335341811180892,0.08676972753189578,0.20679910517053687,-0.0001638457473693844,0.0016218660604483404,-10,-10,-10,-10
1651820411.3999426,0.9328385025262832,-1.7049107551574707,0.2183839872479439,0.6988080024719239,0.1135548405349254,0.1604314155876636,-0.6877541571855545,0.1205904953181743,-2.483722674846649,0.0417137667536734,0.004689544183202,0.0038959010737016,0.7080848783254623,-0.7061009228229522,0.92892424762249,-1.7295129418373107,0.4237300485372543,-0.689669269323349,-0.0409961542114614,0.7229455292224884,0.0039556415285914,-0.03719747066495138,0.04423677921294722,-0.020752400159829154,0.06141015039387736,0.20685162283123332,-0.00020993741920993791,0.0013810402686293966,-10,-10,-10,-10
1651820411.4099426,0.9323954373598096,-1.7043184101581574,0.2180691123008728,0.698782953619957,0.1133421003818511,0.1605370186269283,-0.6877925604581833,0.120602960884571,-2.483723092079163,0.0417151600122451,0.0046652295393868,0.0039232539245858,0.7080740243196487,-0.7061118334531784,0.9285522729158402,-1.7290705740451813,0.423522524535656,-0.6896428763866425,-0.0411801056936382,0.7229602754116058,0.0040920318919233,-0.03719747066498469,0.04423677921294722,-0.020752400159834705,0.0614101503938994,0.20697474273193148,-0.00016717517719477826,0.0013656692512487023,-10,-10,-10,-10
1651820411.4199426,0.9320134729146956,-1.7040368139743804,0.2178237438201904,0.6988424152135849,0.1132647544145583,0.1605603173375129,-0.6877393186092376,0.1206187415868043,-2.4837243318557745,0.0417201798409222,0.0046654871897771,0.0039331462350673,0.7080603688955307,-0.7061254680156708,0.9281207144260406,-1.7287331640720367,0.4232132256031036,-0.6896368473768234,-0.0410518968477844,0.72297143638134,0.0042927607428281,-0.04315584897995883,0.033740997314457566,-0.030929893255238206,0.0629089858266343,0.2069055400511321,-6.654940908545903e-05,0.0015130350904675183,-10,-10,-10,-10
1651820411.4299426,0.9316315084695816,-1.7037552177906037,0.217578375339508,0.6989018768072128,0.1131874084472655,0.1605836160480976,-0.687686076760292,0.1206345222890376,-2.4837255716323856,0.0417251996695994,0.0046657448401674,0.0039430385455488,0.7080467134714127,-0.7061391025781631,0.9276891559362412,-1.728395754098892,0.4229039266705513,-0.6896308183670044,-0.0409236880019306,0.7229825973510742,0.004493489593733,-0.04315584897993663,0.03374099731447977,-0.030929893255227103,0.06290898582662553,0.20683636092924793,2.938159524612516e-05,0.0015476657470694377,-10,-10,-10,-10
1651820411.4399426,0.9312495440244676,-1.7034736216068267,0.2173330068588256,0.6989613384008407,0.1131100624799727,0.1606069147586822,-0.6876328349113464,0.120650302991271,-2.4837268114089968,0.0417302194982766,0.0046660024905576,0.0039529308560303,0.7080330580472947,-0.7061527371406555,0.9272575974464417,-1.7280583441257478,0.4225946277379989,-0.6896247893571854,-0.0407954791560768,0.7229937583208084,0.0046942184446379,-0.04315584897995883,0.03374099731441316,-0.030929893255243757,0.06290898582661322,0.20676720538992546,0.00012091111060064108,0.0014466891928830439,-10,-10,-10,-10
1651820411.4499426,0.9308310300111772,-1.7033403992652894,0.2169852636754513,0.6991377413272858,0.113171089068055,0.1604559987783431,-0.6874747514724732,0.1206680115312337,-2.483728563785553,0.0417539615184068,0.0047133948188274,0.0039467857452109,0.7080170065164566,-0.7061685353517533,0.926907879114151,-1.7279633104801178,0.4223464846611023,-0.6895877003669739,-0.040554936043918,0.723041120171547,0.0047388486564158,-0.03497183322906938,0.009503364563001604,-0.024814307689657866,0.043921440362722275,0.2068693064578976,0.00023233680149803426,0.0010184177299201735,-10,-10,-10,-10
1651820411.4599426,0.9304100155830384,-1.7032227575778962,0.2166229240596294,0.6993335098028183,0.1132403098046779,0.1602942898869514,-0.6872976064682007,0.1206857200711965,-2.48373031616211,0.0417777035385369,0.0047607871470972,0.0039406406343914,0.7080009549856185,-0.7061843335628509,0.9265581607818604,-1.727868276834488,0.4220983415842056,-0.6895506113767624,-0.0403143929317592,0.7230884820222855,0.0047834788681938,-0.03497183322905828,0.0095033645629794,-0.02481430768966897,0.043921440362714906,0.20698402260014012,0.00031232609199172146,0.0004117604930067298,-10,-10,-10,-10
1651820411.4699426,0.9300471305847168,-1.7034402668476103,0.2162958979606628,0.6997754216194153,0.1134878747165202,0.159834487736225,-0.6869088917970657,0.1206888657063245,-2.4837314724922184,0.0417960161343216,0.0048283822834491,0.0039043199503793,0.7079969495534897,-0.7061880499124527,0.9262108087539672,-1.7278347134590148,0.4217570826411247,-0.689465269446373,-0.0404330616816877,0.7231635451316833,0.0044103518826886,-0.03473520278931552,0.003356337547311128,-0.03412589430809021,0.048809588984883974,0.2069398579321167,0.0002745839901194813,-9.841458418025084e-05,-10,-10,-10,-10
