NaiveBC,RNN-BC,GAN-BC,Test,Train,Params,D-Params,Epochs,Old dataset,New dataset,Time signal,State history,Prepend,Learning rate,Pearson,Euclidean g,Manhattan g,Cosine,Euclidean m,Manhattan m,Pos error,Rot error,Release error,Rel. pos. err,Rel. vel. err,Missed by,Filename
False,False,True,True,False,128,128,68,True,False,True,3,False,1e-05,0.690971849633571,0.004106289098209781,0.23248994094084038,0.7440686023158891,0.8256308505269662,1.859919527526723,0.5975473806772703,0.6707254203710161,0.24095238095238092,0.3335438677634505,8.115651735071422,0.7863203941445764,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-68-testval
False,False,True,False,True,128,128,68,True,False,True,3,False,1e-05,0.9111286299954682,0.0007740053030817562,0.13241985450448604,0.9284737237041846,0.46315253463910894,1.059358836035888,0.23946393897005305,0.5300418192017271,0.1214196762141968,0.2634320253736726,2.148060837804646,0.5077262666546802,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-68-trainval
False,False,True,True,False,128,128,85,True,False,True,3,False,1e-05,0.6801871129337359,0.003850748505539087,0.2357966548715415,0.7358716151852488,0.8234995132568953,1.886373238972332,0.4767281586716581,0.8105389904357694,0.3904761904761904,0.22762103313952586,34.23332686381145,23.719177844692762,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-85-testval
False,False,True,False,True,128,128,85,True,False,True,3,False,1e-05,0.8541531940492005,0.0009572618101867445,0.16224358288394844,0.8836080909601733,0.5829514755076687,1.2979486630715875,0.23563696935216596,0.6068996808784984,0.34122042341220427,0.1889182564909623,38.20380568997478,28.190729107003413,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-85-trainval
False,False,True,True,False,128,128,0,True,False,True,3,True,1e-05,0.549490338919918,0.009083493771900635,0.6952488361669207,0.5924742598354927,2.276955995323291,5.5619906893353654,1.7113540559425646,1.0288332874314832,0.4990476190476191,,,,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-0-testval
False,False,True,False,True,128,128,0,True,False,True,3,True,1e-05,0.6620037380617029,0.0027830863454929265,0.6009027480026427,0.6869466270524035,1.9508756657563233,4.807221984021142,1.3782773354661852,0.9728042736427168,0.6254047322540472,,,,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-0-trainval
False,False,True,True,False,128,128,102,True,False,True,3,True,1e-05,0.6378859139537304,0.004062240893745412,0.23643775498134995,0.696040915132133,0.869804293230893,1.8915020398507996,0.4909029592900547,0.7738442321622937,0.4323809523809524,,,,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-102-testval
False,False,True,False,True,128,128,102,True,False,True,3,True,1e-05,0.7487514092315853,0.0012297133003513056,0.18913740742201482,0.7981847010191316,0.7229739977084565,1.5130992593761186,0.35398312401544063,0.6470777254728763,0.410585305105853,,,,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-102-trainval
False,False,True,True,False,128,128,119,True,False,True,3,True,1e-05,0.6744679290549693,0.004400390792822497,0.26276480952222303,0.728535695363868,0.8873384568113655,2.1021184761777842,0.5803391235809378,0.844154941770827,0.41333333333333333,0.19986922647139707,22.1257235930129,51.39198408548802,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-119-testval
False,False,True,False,True,128,128,119,True,False,True,3,True,1e-05,0.8746218877561854,0.0009735447185059033,0.14956376995573664,0.8990014227259953,0.5448267175846583,1.1965101596458931,0.2729475922591333,0.5176127962418888,0.26662515566625156,0.17603712858964746,20.124227480054774,51.78105390892397,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-119-trainval
False,False,True,True,False,128,128,136,True,False,True,3,True,1e-05,0.61898137926446,0.00509973218386798,0.27668479174382593,0.6726827925762813,0.9689806605011332,2.2134783339506074,0.610203963608804,0.8134049243142896,0.4219047619047619,0.18374038352006605,13.307587731273896,12.296841810942375,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-136-testval
False,False,True,False,True,128,128,136,True,False,True,3,True,1e-05,0.871489991462164,0.0009476088227150656,0.14904957153507073,0.8958945281977818,0.5385214437062014,1.1923965722805658,0.25206712944492266,0.5477446862820727,0.27795765877957657,0.13986288437025512,12.734808823358977,17.908104757613625,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-136-trainval
False,False,True,True,False,128,128,153,True,False,True,3,True,1e-05,0.7344184496355418,0.0038091229313263367,0.2291620393171975,0.7807557280962565,0.7831329582230236,1.83329631453758,0.4852996741348498,0.7285660383759599,0.3504761904761905,0.18837242284574496,26.156170506255823,41.66492427088726,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-153-testval
False,False,True,False,True,128,128,153,True,False,True,3,True,1e-05,0.8875907774830115,0.0009279568425726089,0.1420590760392173,0.9102391620815975,0.5216648510262352,1.1364726083137384,0.24268376490944543,0.481467922829259,0.2819427148194271,0.15632869439137848,20.190101104119762,40.80901009022948,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-153-trainval
False,False,True,True,False,128,128,17,True,False,True,3,True,1e-05,0.599543611838957,0.0057148379561268265,0.31586597082956575,0.6665610376080557,1.1285434527495415,2.526927766636526,0.7304996348105662,0.7160261494278842,0.48571428571428577,0.2681300513864339,110.30382270651708,73.98111282114404,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-17-testval
False,False,True,False,True,128,128,17,True,False,True,3,True,1e-05,0.8533913916455269,0.0010298424639022575,0.16839436111115266,0.8833543914909441,0.6210902441839591,1.3471548888892213,0.3124126201649432,0.5471445371745016,0.3504358655043587,0.21117411882256018,86.48046959173153,52.995486775848235,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-17-trainval
False,False,True,True,False,128,128,170,True,False,True,3,True,1e-05,0.7344688302383263,0.003804809796077861,0.2244501639766293,0.779889707915983,0.7918386768974384,1.7956013118130345,0.46435812999750464,0.7963500683993731,0.34571428571428575,0.20502211146164662,7.500169340346039,19.810308289355984,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-170-testval
False,False,True,False,True,128,128,170,True,False,True,3,True,1e-05,0.9047190228594266,0.0008180211168594735,0.13374576480624278,0.923704032913567,0.4885064802446248,1.0699661184499423,0.17467487853677569,0.602597668327161,0.1825653798256538,0.19189652277475475,7.891386827048121,23.01760897047595,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-170-trainval
False,False,True,True,False,128,128,187,True,False,True,3,True,1e-05,0.7307578475516768,0.004296852456981374,0.23587867484368524,0.7762671454135558,0.8731488027010478,1.887029398749482,0.5185566959076329,0.5784037803886732,0.45904761904761904,0.1528125918417363,19.841615298190153,16.076489164470487,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-187-testval
False,False,True,False,True,128,128,187,True,False,True,3,True,1e-05,0.8864983534579467,0.0009908844894285333,0.14768589522198727,0.9089176266501757,0.5697873500960986,1.1814871617758982,0.23022114961588536,0.48827427778633115,0.3123287671232877,0.1522108217860669,14.614496616467008,22.616713514811973,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-187-trainval
False,False,True,True,False,128,128,34,True,False,True,3,True,1e-05,0.5088127237623226,0.005627102113129723,0.32958506674657656,0.5878720206715586,1.1141031738641287,2.6366805339726125,0.7605984168695711,1.0418766172109797,0.4838095238095238,0.38167793855551796,103.05789887249867,168.9646571471668,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-34-testval
False,False,True,False,True,128,128,34,True,False,True,3,True,1e-05,0.8413135110304354,0.0010198417850177234,0.1775571526061737,0.8740579131222245,0.6221448185016377,1.4204572208493897,0.33869171097049505,0.5934450653083144,0.3515566625155666,0.3390747014595565,99.11127395679684,153.5498131679131,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-34-trainval
False,False,True,True,False,128,128,51,True,False,True,3,True,1e-05,0.6583097254916598,0.004592503515895724,0.2626665700818934,0.7086181419187101,0.9122808087102001,2.1013325606551474,0.6104488212197521,0.7684005886043715,0.48952380952380947,0.28678136119696007,33.14793106483506,11.713711386821036,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-51-testval
